Run, PostgresBulk, MysqlBatch,customer,lineitem,nation,orders,part,partsupp,region,supplier,Total Elapsed
Run 1, PostgresBulk 5000, MysqlBatch 5000,4.918083667755127,357.17886877059937,0.005132198333740234,74.00313997268677,11.402310848236084,42.64608955383301,0.008854150772094727,0.25435590744018555,490.42025995254517
Run 2, PostgresBulk 5000, MysqlBatch 5000,4.430222034454346,390.84074306488037,0.005322933197021484,85.02899074554443,5.810765027999878,16.255337238311768,0.0041844844818115234,0.25655269622802734,502.6351718902588
Run 3, PostgresBulk 5000, MysqlBatch 5000,4.95734429359436,357.77147459983826,0.004507541656494141,57.853047609329224,5.857208967208862,57.321476459503174,0.006619453430175781,0.29581594467163086,484.07068514823914
Run 4, PostgresBulk 5000, MysqlBatch 5000,4.797781467437744,394.8442749977112,0.004603385925292969,75.56602120399475,5.744797229766846,34.9405722618103,0.005464076995849609,0.25256896018981934,516.159154176712
Run 0, PostgresBulk 5000, MysqlBatch 10000,4.60849928855896,373.3146297931671,0.0051457881927490234,66.45650124549866,8.827790260314941,25.538663148880005,0.004801511764526367,0.37007904052734375,479.12888860702515
Run 1, PostgresBulk 5000, MysqlBatch 10000,4.892587423324585,381.42313051223755,0.004651308059692383,51.05105471611023,13.295899629592896,37.90729761123657,0.005070209503173828,0.2594137191772461,488.88594698905945
Run 2, PostgresBulk 5000, MysqlBatch 10000,4.91182804107666,379.74280738830566,0.0047914981842041016,70.00714707374573,6.300931215286255,21.219349145889282,0.004166364669799805,0.2568624019622803,482.4511966705322
Run 3, PostgresBulk 5000, MysqlBatch 10000,5.012121915817261,370.7587161064148,0.008214235305786133,56.55799984931946,8.994929075241089,16.60626196861267,0.0043087005615234375,0.25739026069641113,458.2141971588135
Run 4, PostgresBulk 5000, MysqlBatch 10000,8.745367288589478,344.17423605918884,0.005207061767578125,77.85634994506836,9.070072650909424,42.00403952598572,0.00664210319519043,0.2649075984954834,482.12986063957214
Run 0, PostgresBulk 5000, MysqlBatch 20000,4.575833559036255,405.1333587169647,0.005300998687744141,72.65162658691406,27.014972686767578,18.209993839263916,0.004772663116455078,0.2583935260772705,527.8575003147125
Run 1, PostgresBulk 5000, MysqlBatch 20000,4.59808349609375,385.7557396888733,0.004537343978881836,74.37230467796326,6.810316562652588,42.634761810302734,0.005089759826660156,0.25678515434265137,514.4405670166016
Run 2, PostgresBulk 5000, MysqlBatch 20000,4.94734525680542,380.2287232875824,0.004699230194091797,75.30630373954773,6.760532379150391,32.282299518585205,0.004252910614013672,0.25462913513183594,499.79189252853394
